time,name,authors,rank,journal,publication,type,_2010IF,_2015IF,_5YIF,foreign,remark,inland,SCI,EI,ISTP,citing,other_citing
2016,"RGB, a Mixed Multivariate Signature Scheme","Wuqiang Shen, Shaohua Tang",2,Computer Journal,Comput. J. 59(4): 439-451 ,j,,1.000 ,1.041 ,1,England,,1,1,,,
2016,Very Small FPGA Processor for Multivariate Signatures,"Haibo Yi, Shaohua Tang",2,Computer Journal,Comput. J. 59(7): 1091-1101 ,j,,1.000 ,1.041 ,1,England,,1,1,,,
2016,Fast Inversions in Small Finite Fields by Using Binary Trees,"Haibo Yi, Shaohua Tang, Ranga Vemuri",2,Computer Journal,Comput. J. 59(7): 1102-1112 ,j,,1.000 ,1.041 ,1,England,,1,1,,,
2016,Incentives for Mobile Crowd Sensing: A Survey,"Xinglin Zhang, Zheng Yang, Wei Sun, Yunhao Liu, Shaohua Tang, Kai Xing, XuFei Mao:",5,IEEE Communications Surveys and Tutorials,IEEE Communications Surveys and Tutorials 18(1): 54-67,j,,9.220 ,9.414 ,1,USA,,1,1,,,
2016,Extended dual system group and shorter unbounded hierarchical identity based encryption,"Junqing Gong, Zhenfu Cao, Shaohua Tang, Jie Chen:",3,Designs Codes & Cryptography,Des. Codes Cryptography 80(3): 525-559,j,,0.781 ,0.894 ,1,USA,,1,1,,,
2016,Building a new secure variant of Rainbow signature scheme,"Yang Tan, Shaohua Tang, Jie Chen, Yong Yu, Xiangxue Li",2,Iet Information Security,IET Information Security 10(2): 53-59,j,,1.013 ,1.179 ,1,England,,1,1,,,
2016,Key recovery on several matrix public-key encryption schemes,"Houzhen Wang, Huanguo Zhang, Shaohua Tang",3,Iet Information Security,IET Information Security 10(3): 152-155,j,,1.013 ,1.179 ,1,England,,1,1,,,
2016,A description logic-based policy compliance checker for trust negotiation,"Xinxin Liu, Shaohua Tang, Shiqian Chen:",2,Peer-to-Peer Networking and Applications,"Peer-to-Peer Networking and Applications,2015,9(2): 372-383",j,,1.000 ,0.861 ,1,USA,,1,1,,,
2016,"Achieving Simple, Secure and Efficient Hierarchical Access Control in Cloud Computing","Shaohua Tang, Xiaoyu Li, Xinyi Huang, Yang Xiang, Lingling Xu",1,IEEE Transactions on Computers,IEEE Trans. Computers 65(7): 2325-2331,j,,1.732 ,1.862 ,1,USA,,1,1,,,
2016,Identity-Based Proxy-Oriented Data Uploading and Remotes Data Integrity Checking in Public Cloud,"Huaqun Wang, Debiao He, Shaohua Tang",3,IEEE Transactions on Information Forensics & Security,IEEE Trans. Information Forensics and Security 11(6): 1165-1176,j,,2.441 ,3.266 ,1,USA,,1,1,,,
2016,Hybrid MQ Signature for Embedded Device,"Shaohua Tang, Bo Lv, Wuqiang Shen",1,,ACISP (1) 2016: 281-290,c,,,,1,,,0,1,,,
2016,Practical and Efficient Attribute-Based Encryption with Constant-Size Ciphertexts in Outsourced Verifiable Computation,"Kai Zhang, Junqing Gong, Shaohua Tang, Jie Chen, Xiangxue Li, Haifeng Qian, Zhenfu Cao",3,,AsiaCCS 2016: 269-279,c,,,,1,,,0,1,,,
2016,"Extended Nested Dual System Groups, Revisited","Junqing Gong, Jie Chen, Xiaolei Dong, Zhenfu Cao, Shaohua Tang",5,,Public Key Cryptography (1) 2016: 133-163,c,,,,1,,,0,1,,,
2015,Efficient hardware implementation of PMI+ for low-resource devices in mobile cloud computing,"Shaohua Tang, Bo Lv, Guomin Chen, Zhiniang Peng, Adama Diene, Xiaofeng Chen",1,Future Generation Computer Systems-The International Journal of eScience,Future Generation Comp. Syst. 52: 116-124,j,,2.430 ,2.335 ,1,Netherlands荷兰,,1,1,,,
2015,Enhanced privacy of a remote data integrity-checking protocol for secure cloud storage,"Yong Yu, Man Ho Au, Yi Mu, Shaohua Tang, Jian Ren, Willy Susilo, Liju Dong:",4,International Journal of Information Security,Int. J. Inf. Sec. 14(4): 307-318,j,,1.279 ,1.312 ,1,GERMANY,,1,1,,6,6
2015,Server-Aided Verification Signature with Privacy for Mobile Computing,"Lingling Xu, Jin Li, Shaohua Tang, Joonsang Baek",3,Mobile Information Systems,Mobile Information Systems 2015: 626415:1-626415:11,j,1.3 ,0.872 ,0.968 ,1,Netherlands荷兰,,1,1,,,
2015,Analyses of several recently proposed group key management schemes,"Niu Liu, Shaohua Tang, Lingling Xu, Daojing He",2,Security & Communication Networks,Security and Communication Networks 8(2): 136-148,j,,0.806 ,0.730 ,1,USA,,1,1,,,
2015,Cost-Effective Authentic and Anonymous Data Sharing with Forward Security,"Xinyi Huang, Joseph K. Liu, Shaohua Tang, Yang Xiang, Kaitai Liang, Li Xu, Jianying Zhou",3,IEEE Transactions on Computers,IEEE Trans. Computers 64(4): 971-983,j,1.8 ,1.732 ,1.862 ,1,USA,,1,1,,7,6
2015,Secure Distributed Deduplication Systems with Improved Reliability,"Jin Li, Xiaofeng Chen, Xinyi Huang, Shaohua Tang, Yang Xiang, Mohammad Mehedi Hassan,",4,IEEE Transactions on Computers,IEEE Trans. Computers 64(12): 3569-3579,j,,1.732 ,1.862 ,1,USA,,1,1,,,
2015,Efficient algorithms for secure outsourcing of bilinear pairings,"Xiaofeng Chen, Willy Susilo, Jin Li, Duncan S. Wong, Jianfeng Ma, Shaohua Tang, Qiang Tang",6,,Theor. Comput. Sci. 562: 112-121,j,,0.643 ,0.827 ,1,Netherlands荷兰,,1,1,,3,3
